number,author,data,commit-info,father_version,src_modify_file_num,src_hunk_num,src_add_lines_num,src_delete_lines_num,test_modify_file_num,test_hunk_num,test_add_lines_num,test_delete_lines_num,common_modify_file_num,common_hunk_num,common_add_lines_num,common_delete_lines_num,test_class_add_num,test_class_sub_num,test_class_modify_num,test_method_add_num,test_method_sub_num,test_method_modify_num,src_class_add_num,src_class_sub_num,src_class_modify_num,src_method_add_num,src_method_sub_num,src_method_modify_num
1a54656,Maurizio Cucchiara,2011-10-29 11:01:56 +0000,OGNL-11: fixed checkstyle errors,324358239b5cfd944ec1295ea786db4d4a96af36,3,18,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14
3243582,Maurizio Cucchiara,2011-10-29 10:51:32 +0000,OGNL-11: fixed checkstyle errors,165a923b3a47957d1328f1ce6e23063ccd5f3f8e,17,65,172,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,71
85382a4,Maurizio Cucchiara,2011-10-29 07:43:12 +0000,fixed javadocs warning,47c4912e2d4d6c59fccd84d09722921afd864f1d,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03b9d30,Maurizio Cucchiara,2011-10-29 05:44:09 +0000,OGNL-32 - CPD fix to ASTProperty (contributed by Adrian Cumiskey),e389358bfec29b8898bc342eed14d790df6d64b7,1,3,34,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
2805d18,Maurizio Cucchiara,2011-10-25 15:14:04 +0000,Fixed checkstyle warning (added missing parenthesis),27cc181ec74b9fb1424ea6ccca00a2f2cdea84ff,1,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
27cc181,Maurizio Cucchiara,2011-10-25 15:12:31 +0000,Fixed checkstyle warning (added missing parenthesis),96796985d6124fe73726e3799c4e6be7243400c7,1,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
9679698,Maurizio Cucchiara,2011-10-25 15:09:55 +0000,Fixed checkstyle warning (removed public keyword from interface),945e5ff3e2184e3c28fd34bf52cf54a029c0cedc,1,2,93,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
c184917,Maurizio Cucchiara,2011-10-25 14:58:13 +0000,"Fixed checkstyle warning (added missing spaces, missing default case, etc.)",33ed181ea4070b58e793680abb3273ec50b17b7c,1,12,36,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5
31c4731,Maurizio Cucchiara,2011-10-25 14:53:43 +0000,Fixed checkstyle warning (added magic numbers),db8329be7c9963517657e6636612e6457c011ee0,1,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
bafbdb6,Maurizio Cucchiara,2011-10-25 14:37:46 +0000,Fixed checkstyle warning,e91b29c19cd01157167c3ca372255de1649b129a,1,7,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
